"","CRASH.DATE","CRASH.TIME","LATITUDE","LONGITUDE","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","VEHICLE.TYPE.CODE.1","year"
"112","4/16/2024","13:00",NA,NA,1,0,"Unspecified","Truck","2024"
"113","4/16/2024","16:17",NA,NA,1,0,"Driver Inattention/Distraction","Taxi","2024"
"114","4/16/2024","21:50",40.79656,-73.97226,1,0,"Driver Inattention/Distraction","","2024"
"115","4/6/2024","10:15",NA,NA,1,0,"Driver Inattention/Distraction","Sedan","2024"
"116","4/16/2024","10:29",NA,NA,1,0,"Unspecified","Sedan","2024"
"117","4/7/2024","18:20",40.61679,-74.09754,0,0,"Unspecified","Sedan","2024"
"118","4/17/2024","14:45",40.583042,-74.096176,3,0,"Failure to Yield Right-of-Way","","2024"
"119","4/20/2024","23:00",40.60243,-74.1361,0,0,"Unspecified","Sedan","2024"
"120","4/15/2024","6:05",40.66836,-73.91434,0,0,"Unspecified","Sedan","2024"
"121","4/21/2024","8:09",40.563915,-74.11637,0,0,"Driver Inattention/Distraction","Sedan","2024"
